gene,mean_abs_IG_class0,mean_IG_class0,mean_abs_IG_class1,mean_IG_class1,mean_importance,IG_class0_rank,IG_class1_rank,permutation_rank,class_direction,class_difference_abs,direction,ENSEMBL,SYMBOL
ENSG00000233622,0.11500739,-0.036590572,0.10565137,0.10147619,0.00015350394423042425,12.0,73.0,4.0,0.13806677,0.13806677,Class 1,,
ENSG00000163364,0.12844397,-0.05999748,0.086308725,0.0701644,3.9167125298120715e-05,5.0,114.0,42.0,0.13016188,0.13016188,Class 1,ENSG00000163364,LINC01116
ENSG00000186665,0.06479205,-0.018566491,0.13474235,0.107519954,0.00013236103467254788,121.0,30.0,9.0,0.12608644,0.12608644,Class 1,ENSG00000186665,C17orf58
ENSG00000256612,0.09314289,-0.041381612,0.08349285,0.07544013,0.00014378095762246357,32.0,130.0,8.0,0.11682174,0.11682174,Class 1,,
ENSG00000185008,0.12084808,-0.03184949,0.090313956,0.07285923,4.3615850302702884e-05,7.0,107.0,35.0,0.104708716,0.104708716,Class 1,ENSG00000185008,ROBO2
ENSG00000141682,0.05324216,-0.009214094,0.15698704,0.079665616,6.021830856724141e-05,177.0,15.0,23.0,0.08887971,0.08887971,Class 1,ENSG00000141682,PMAIP1
ENSG00000211968,0.058436338,-0.0048736534,0.19186525,0.07859928,0.00017611447440837093,148.0,2.0,1.0,0.08347294,0.08347294,Class 1,ENSG00000211968,IGHV1-58
ENSG00000053108,0.08737843,-0.026579551,0.09463184,0.05382839,6.067694001101074e-05,43.0,97.0,22.0,0.08040794,0.08040794,Class 1,ENSG00000053108,FSTL4
ENSG00000138821,0.10879395,-0.013958824,0.14403144,0.057448328,3.5406347459194804e-05,18.0,23.0,45.0,0.071407154,0.071407154,Class 1,ENSG00000138821,SLC39A8
ENSG00000055163,0.023097968,-0.005912794,0.10519573,0.062517226,0.0001449733993762581,383.0,74.0,7.0,0.06843002,0.06843002,Class 1,ENSG00000055163,CYFIP2
ENSG00000238178,0.07473991,-0.02988995,0.026244977,0.023784433,3.756191524491915e-05,85.0,362.0,44.0,0.053674385,0.053674385,Class 1,,
ENSG00000170419,0.08225554,-0.018560354,0.038320962,0.03385977,4.324894514767364e-05,65.0,292.0,36.0,0.052420124,0.052420124,Class 1,ENSG00000170419,VSTM2A
ENSG00000211942,0.05387563,-0.009166413,0.12151861,0.038632732,0.00011768482847184457,174.0,47.0,10.0,0.047799144,0.047799144,Class 1,ENSG00000211942,IGHV3-13
ENSG00000106688,0.08317654,-0.02005434,0.014129604,0.0053440556,6.0034855989727906e-05,60.0,455.0,24.0,0.025398396,0.025398396,Class 1,ENSG00000106688,SLC1A1
ENSG00000118432,0.08977674,-0.00999069,0.1399434,0.015361351,4.971564850486665e-05,37.0,27.0,30.0,0.025352042,0.025352042,Class 1,ENSG00000118432,CNR1
ENSG00000163485,0.13235493,-0.011907239,0.04913083,0.009341576,4.058888277382877e-05,3.0,247.0,40.0,0.021248816,0.021248816,Class 1,ENSG00000163485,ADORA1
ENSG00000198788,0.072960585,-0.013540511,0.015703455,0.0077079656,4.746835443037778e-05,89.0,437.0,32.0,0.021248477,0.021248477,Class 1,ENSG00000198788,MUC2
ENSG00000140416,0.038266737,-0.0030535734,0.10656783,0.017409746,5.5402678407636676e-05,269.0,72.0,25.0,0.02046332,0.02046332,Class 1,ENSG00000140416,TPM1
ENSG00000138650,0.085521206,-0.015519623,0.009913623,0.0041868556,0.00015056870299027248,51.0,482.0,6.0,0.019706478,0.019706478,Class 1,ENSG00000138650,PCDH10
ENSG00000131746,0.057041448,-0.0073965434,0.13166063,0.0023863274,4.013025133003279e-05,153.0,34.0,41.0,0.009782871,0.009782871,Class 1,ENSG00000131746,TNS4
