gene,importance
ENSG00000092969.12,0.047430668
ENSG00000197728.11,0.04659813
ENSG00000125848.10,0.046304733
ENSG00000181019.13,0.046211146
ENSG00000187017.17,0.04501801
ENSG00000163485.17,0.04494092
ENSG00000240342.3,0.044416934
ENSG00000249242.8,0.04392794
ENSG00000116991.11,0.04381456
ENSG00000120093.11,0.043792963
ENSG00000182742.6,0.0433193
ENSG00000249859.12,0.043171227
ENSG00000149294.17,0.043059193
ENSG00000105219.10,0.042883795
ENSG00000282933.2,0.04279184
ENSG00000138028.16,0.041778382
ENSG00000135472.9,0.041509476
ENSG00000139055.7,0.041214745
ENSG00000277075.2,0.040960457
ENSG00000087258.16,0.040714566
ENSG00000273802.2,0.04062575
ENSG00000189223.15,0.04028378
ENSG00000196876.18,0.039951913
ENSG00000176153.12,0.039947934
ENSG00000130513.6,0.039916057
ENSG00000250120.8,0.03953638
ENSG00000120075.5,0.039519187
ENSG00000171102.14,0.03942826
ENSG00000079841.18,0.03919714
ENSG00000107165.13,0.039115444
ENSG00000124429.18,0.038847174
ENSG00000101255.11,0.03869276
ENSG00000111341.10,0.038688555
ENSG00000128536.16,0.03853408
ENSG00000158406.5,0.03841571
ENSG00000154654.15,0.0381134
ENSG00000166509.12,0.038061995
ENSG00000119698.12,0.038012836
ENSG00000185352.8,0.037989855
ENSG00000196139.14,0.03795179
ENSG00000042062.13,0.037857853
ENSG00000197261.11,0.037799682
ENSG00000100228.12,0.037649754
ENSG00000287550.1,0.03726543
ENSG00000147883.12,0.03723191
ENSG00000196787.3,0.037148423
ENSG00000066468.23,0.03690358
ENSG00000149269.10,0.03684275
ENSG00000147485.13,0.036818307
ENSG00000278828.1,0.036725353
ENSG00000173848.19,0.03671814
ENSG00000204140.10,0.03664155
ENSG00000006747.15,0.03642701
ENSG00000155906.19,0.0363626
ENSG00000164283.13,0.03622323
ENSG00000179915.24,0.036167495
ENSG00000138821.13,0.03606835
ENSG00000150281.7,0.035842348
ENSG00000107954.10,0.035748735
ENSG00000183780.13,0.035636418
ENSG00000170873.19,0.035504926
ENSG00000174469.23,0.03531062
ENSG00000171617.14,0.03516205
ENSG00000210196.2,0.035144154
ENSG00000144451.19,0.03508986
ENSG00000177685.17,0.03505981
ENSG00000119535.18,0.034734827
ENSG00000137745.12,0.034711123
ENSG00000147394.18,0.034514483
ENSG00000183844.17,0.034453947
ENSG00000179403.12,0.03420622
ENSG00000116329.11,0.034193706
ENSG00000140416.23,0.034101635
ENSG00000124785.9,0.034009766
ENSG00000233101.10,0.03371818
ENSG00000110195.14,0.03353754
ENSG00000126016.16,0.033530585
ENSG00000286381.1,0.033418823
ENSG00000108511.10,0.033310544
ENSG00000104267.10,0.03329716
ENSG00000170577.8,0.033251133
ENSG00000160183.17,0.033206616
ENSG00000173917.10,0.033046097
ENSG00000184956.16,0.033041976
ENSG00000228232.1,0.033024985
ENSG00000167552.14,0.03299228
ENSG00000139352.4,0.032782394
ENSG00000237438.7,0.032689624
ENSG00000186891.14,0.032689262
ENSG00000008735.14,0.032556716
ENSG00000242265.6,0.032553874
ENSG00000158106.14,0.032478113
ENSG00000254349.6,0.032421127
ENSG00000198535.5,0.032395717
ENSG00000186153.17,0.03232479
ENSG00000053747.17,0.032309312
ENSG00000196208.14,0.032293692
ENSG00000128274.17,0.032280106
ENSG00000050438.17,0.03215677
ENSG00000126778.12,0.03209553
ENSG00000244300.3,0.032031853
ENSG00000157303.11,0.03201357
ENSG00000150893.11,0.031942435
ENSG00000049089.15,0.031844493
ENSG00000221890.6,0.03180173
ENSG00000224189.8,0.031774815
ENSG00000099954.18,0.03170739
ENSG00000182272.12,0.031621568
ENSG00000156413.14,0.03153264
ENSG00000130164.14,0.0315035
ENSG00000176293.20,0.03142089
ENSG00000166391.15,0.031361442
ENSG00000185686.18,0.0312662
ENSG00000260027.5,0.031204717
ENSG00000229391.7,0.03105743
ENSG00000155761.14,0.031010043
ENSG00000175879.9,0.030975506
ENSG00000198797.7,0.030893352
ENSG00000215218.4,0.030764377
ENSG00000062282.15,0.03073545
